Latitude,Longitude,Sim_10000,Sim_1000,Sim_100
-60,175,NA,NA,NA
-60,177,NA,NA,NA
-60,179,NA,NA,NA
-58,-179,NA,NA,NA
-58,-177,NA,NA,NA
-58,-175,NA,NA,NA
-58,-173,NA,NA,NA
-58,-171,NA,NA,NA
-58,-169,NA,NA,NA
-58,-167,NA,NA,NA
-58,-165,NA,NA,NA
-58,-163,NA,NA,NA
-58,-161,NA,NA,NA
-58,-159,NA,NA,NA
-58,-157,NA,NA,NA
-58,-155,NA,NA,NA
-58,-153,NA,NA,NA
-58,-151,NA,NA,NA
-58,-149,NA,NA,NA
-58,-147,NA,NA,NA
-58,-145,NA,NA,NA
-58,-143,NA,NA,NA
-58,-141,NA,NA,NA
-58,-139,NA,NA,NA
-58,-137,NA,NA,NA
-58,-135,NA,NA,NA
-58,-133,NA,NA,NA
-58,-131,NA,NA,NA
-58,-129,NA,NA,NA
-58,-127,NA,NA,NA
-58,-125,NA,NA,NA
-58,-123,NA,NA,NA
-58,-121,NA,NA,NA
-58,-119,NA,NA,NA
-58,-117,NA,NA,NA
-58,-115,NA,NA,NA
-58,-113,NA,NA,NA
-58,-111,NA,NA,NA
-58,-109,NA,NA,NA
-58,-107,NA,NA,NA
-58,-105,NA,NA,NA
-58,-103,NA,NA,NA
-58,-101,NA,NA,NA
-58,-99,NA,NA,NA
-58,-97,NA,NA,NA
-58,-95,NA,NA,NA
-58,-93,NA,NA,NA
-58,-91,NA,NA,NA
-58,-89,NA,NA,NA
-58,-87,NA,NA,NA
-58,-85,NA,NA,NA
-58,-83,NA,NA,NA
-58,-81,NA,NA,NA
-58,-79,NA,NA,NA
-58,-77,NA,NA,NA
-58,-75,NA,NA,NA
-58,-73,NA,NA,NA
-58,-71,NA,NA,NA
-58,-69,NA,NA,NA
-58,-67,NA,NA,NA
-58,-65,NA,NA,NA
-58,-63,NA,NA,NA
-58,-61,NA,NA,NA
-58,-59,NA,NA,NA
-58,-57,NA,NA,NA
-58,-55,NA,NA,NA
-58,-53,NA,NA,NA
-58,-51,NA,NA,NA
-58,-49,NA,NA,NA
-58,-47,NA,NA,NA
-58,-45,NA,NA,NA
-58,-43,NA,NA,NA
-58,-41,NA,NA,NA
-58,-39,NA,NA,NA
-58,-37,NA,NA,NA
-58,-35,NA,NA,NA
-58,-33,NA,NA,NA
-58,-31,NA,NA,NA
-58,-29,NA,NA,NA
