,Latitude,Longitude,10,11,12,13,14,15,16,17,18,EndAbd,EctAbd
72,-37,-72,2595794516,49614527.43,430291037.2,4432250242,87052194.39,441730874.5,606220755,212483940.2,453527443.5,3075700081,6233265450
73,-37,-70,698618395.2,358709.0945,1338512702,40631880556,261887534.6,89604739767,1476695181,365484860.9,864889455.9,2037489806,1.33E+11
74,-37,-68,2518498690,12001087.13,862156640.2,8462193717,396968362.8,6152296462,1354275559,375650381.2,786154064.7,3392656417,17527538547
75,-37,-66,1576232857,20651328.83,1540992273,338559395.1,142802428.9,995289659.1,418413599,349558339.1,537889804,3137876459,2782513225
76,-37,-64,3458648416,10290085.36,1586470891,1230127853,137765855.8,806382702.9,508824688.3,261896202.1,472129742.1,5055409392,3417127045
77,-37,-62,15781401627,2891937.092,8491684460,3807385877,1401129026,4117904159,4317406836,1907075643,2610513214,24275978024,18161414754
78,-37,-60,18299210013,3611213.197,9334903800,3876109997,327372843.6,1272991537,2896051548,902925191.7,3061527569,27637725026,12336978687
79,-37,-58,6933281429,10382684.86,3839976987,4169569108,916728136.3,2471810036,845043684.2,616349202.3,891167057.1,10783641100,9910667224
80,-37,136,3987120527,35844531.5,2552279698,26915075205,685872060.1,7585127595,1183780196,805838109.5,1222242109,6575244756,38397935275
81,-37,138,4437601630,20556501.26,1560619926,83467369020,786562957.9,18077295086,2812356660,673615340.8,851609204.4,6018778056,1.07E+11
82,-37,140,1541288319,14519066.21,511488940.4,7192130407,592360626.6,4419673956,626151895.6,207759249.2,596576408.4,2067296326,13634652543
83,-37,142,1661883616,9374265.113,868149107.5,6115486774,200024237,5390913110,627326613.1,161901875.7,462894892,2539406989,12958547502
84,-37,144,1655968656,38947739.47,686992956.3,1207444033,34427760.47,449166912.5,504725142.3,149856675.6,259836949.9,2381909352,2605457473
85,-37,146,5637058442,44364844.5,1994551652,5841505210,210622771.3,4814971939,3026432567,831382528.4,2348174003,7675974938,17073089018
86,-37,148,6469839527,155795161,2857796477,33615244198,723717874.6,5725511809,668822519.1,404988276.4,736661166.6,9483431165,41874945843
87,-37,172,1151989325,45730609.11,1069197899,9405415905,304789005.8,9953069997,505056330.2,629600755.5,695286390.9,2266917833,21493218385
88,-37,174,3060492516,64646291.34,2017263706,8645505595,181845501,1910710924,1217228249,561178753.4,779656021.6,5142402513,13296125045
89,-35,-72,10243833121,8077289.171,5887597091,43722483319,1038294408,2843337677,2210887105,1477552047,1783095504,16139507501,53075650060
90,-35,-70,7724187447,932994.8928,3238175281,49204236997,852747604.7,7854887515,1924401760,1146632400,1390102405,10963295724,62373008681
91,-35,-68,2290573630,26669023.32,1131352704,741661005.2,98080772.91,1294810239,389462587.3,227829223.2,368383438.5,3448595357,3120227266
92,-35,-66,2650350035,6564034.329,1897000367,659156472.8,76242309.66,2287999918,535634129.4,351202877.9,358803511.8,4553914437,4269039220
93,-35,-64,3329619558,24380160.12,1235380388,3050578641,229797272.4,2045558844,1884827845,305521982.5,898979145.9,4589380106,8415263731
94,-35,-62,9076957980,32846806.9,8294462697,5593377360,212021962.3,3054010186,2115149345,523119594.8,984210781.2,17404267485,12481889229
95,-35,-60,18474607219,9783511.73,3965471032,11104221822,250113598,6419858361,1235706256,1051374314,530582804.4,22449861764,20591857155
96,-35,-58,6580058040,5926126.627,2073427528,2739305511,72238290.09,2005811462,969174669.2,859628718.7,620668491,8659411694,7266827141
97,-35,-56,13690060956,8973638.781,4519152683,2694761838,88955873.98,2119093053,2364814992,993828956.3,1121992071,18218187278,9383446783
98,-35,-54,20188405557,25911361.62,15074302026,4659866677,275934049.6,3743520217,1631430507,3447159211,2959888627,35288618945,16717799288
99,-35,18,9260953754,15464470.51,6763995053,7026736188,225070198,3640283053,2200547492,3314186841,1597051135,16040413278,18003874909
100,-35,20,956191905.4,38458979.36,325671438.1,23163960230,71771586.87,21487655592,659927597,165597137.8,428084421.5,1320322323,45976996565
101,-35,22,1649961731,23063738.82,651613093.2,37379789127,123797026.2,12679928545,943371352.1,252452259.6,528624596.5,2324638563,51907962907
102,-35,24,979508846.1,20281592.53,529557908.7,50483370848,435978832.6,47835460897,500912355.4,101260857.8,283036697.5,1529348347,99640020488
103,-35,114,5883300015,0,2768034191,5047888940,273027456,5533653977,1047595770,570784817.5,1111305914,8651334206,13584256874
104,-35,116,2778353931,0,1240545539,5154364630,61870834.37,2445372908,963740625.7,482728545,622522097.5,4018899470,9730599640
105,-35,118,2860340904,0,970763842.3,13206286720,100490458.6,3557854986,1577813566,193330582.9,816752165.4,3831104746,19452528479
106,-35,120,2255667899,0,1254798728,1587089890,62349813.43,890184954.9,1006878361,257343904.1,516645382.6,3510466627,4320492306
107,-35,122,2339516783,0,1066465104,31008786294,360687461.2,4557635950,1507598657,559485621.5,1031097879,3405981888,39025291864
108,-35,134,2404761691,4577855.402,1102844242,1.54E+11,428659202,2.40E+11,1713890957,705174600.8,1101326081,3512183788,3.97E+11
109,-35,136,1931126265,11513464.32,786181938,5776315015,137539956.5,5944303951,771023787.7,321249169.8,363094904.6,2728821667,13313526784
110,-35,138,1058340572,10646775.07,347641576.4,10725025143,168983565.9,9911331101,436116145.5,155565501.9,269435063.3,1416628923,21666456520
111,-35,140,996815570.1,12744705.64,248674613.4,453389749,11575034.95,441302099.7,438700088.9,123495659.6,246649791.6,1258234889,1715112424
112,-35,142,1563045735,12817751.73,505462736.5,4341771161,30375890.61,3669655003,784333972.6,313622621.2,306656022.2,2081326224,9446414671
113,-35,144,1109816460,4297172.003,418406531,5073271083,311956924.2,5031980305,562890180.4,189809038.5,196891134.5,1532520163,11366798666
114,-35,146,2251519326,2781080.201,1079302862,5352003283,110675960.9,8755960139,747340101.1,194704510.4,213708290.4,3333603268,15374392285
115,-35,148,5660449446,27918106.29,1907001358,2029404925,115235659.3,1453020264,743160780.2,179326231.2,673067334.4,7595368910,5193215193
116,-35,150,8557145182,75665398.13,3403728672,73210839607,2520319619,8284270721,1687372904,1144741778,2256023403,12036539252,89103568031
117,-33,-72,3737802685,4057325.633,1369054278,1.47E+11,20991665253,2.04E+12,1733852749,882254227.5,1233330924,5110914288,2.22E+12
118,-33,-70,185437620.8,1040365.788,120173804.3,14779441900,354605654.6,9805348371,1444084369,498886939.1,921981803.3,306651790.9,27804349037
119,-33,-68,5974300906,30333550.48,3366307148,3416435336,158567473.8,2223457771,1644087598,353726559.9,1805378332,9370941605,9601653071
120,-33,-66,12852354455,9002282.004,9002604364,3464772347,198703116.8,7258635720,2246154514,374951023.5,2768587506,21863961101,16311804227
121,-33,-64,17326937185,13908338.92,9612291221,7750075160,196942810.8,2655061220,1727780134,1228110888,1437334544,26953136745,14995304756
122,-33,-62,7637255537,60860712.57,3518015698,2138378373,164236091.7,454863951.5,4311769663,870537097.7,1488528669,11216131948,9428313845
123,-33,-60,4301550913,13367589.13,1837652993,1401169730,82200293.9,640418942.9,597943301.9,46048820.46,287197867.6,6152571495,3054978957
124,-33,-58,1407232807,6212629.867,1118352252,379902274.2,30755366.48,308302482,277853334.9,143795564.9,221724300.5,2531797689,1362333323
125,-33,-56,10872482707,16003031.45,4939141137,3194202868,1422516152,1760423405,1423848492,516696136.5,760724171.3,15827626875,9078411224
126,-33,-54,11859359223,144452962.6,3788513287,3228352790,122224285.2,2353888844,1550393195,714085515.2,1210315462,15792325472,9179260091
127,-33,-52,7576436124,26481167.51,4851227710,356878012.4,216999765.6,177896258.6,628347681.1,296564456.4,524833725.6,12454145002,2201519900
128,-33,18,1253665119,10322784.94,742615884.3,8356595664,118076717.7,5794813667,2386466034,241103257.2,874046185.7,2006603789,17771101527
129,-33,20,126295827.6,3672018.9,39701001.4,14915746241,71036764.06,7799712835,1197107255,185721823.8,1308118127,169668847.9,25477443045
130,-33,22,509501605.8,4180965.168,196032552.5,5922005557,21760698.17,1274860846,1150436894,165059316.7,455782442.4,709715123.5,8989905755
131,-33,24,5527927980,19091034.96,1742767618,18876924946,814244384.6,17954868016,2276570844,1080143249,1022081533,7289786633,42024832972
132,-33,26,5214993001,9820731.857,1365667286,10115168572,205010630,10591927963,1766927935,337792288.4,1123089939,6590481019,24139917327
133,-33,28,11149874309,16144602.75,5353082061,4367704403,2222319283,16053387942,5860506888,3765307877,2097427510,16519100973,34366653903
134,-33,114,4030057991,0,1543542457,1302663434,195765471.7,328078144.6,773194642,263514415.6,509814527.1,5573600448,3373030635
135,-33,116,3843214866,0,1706142882,75885642739,279284676.3,49721140413,1214659614,442420507.5,1019904717,5549357748,1.29E+11
136,-33,118,1151854175,0,331283988.2,6961043435,15305966.25,5189090909,303623982,96917983.02,228730597.7,1483138163,12794712873
137,-33,120,987432703.2,0,238002316.2,5658209218,21791249.76,1330133100,1261271355,133644442.7,626573831.4,1225435019,9031623197
138,-33,122,530455592.3,0,149564962.2,11009438281,209880079.3,6177633735,1048204611,202201856.9,1443785330,680020554.4,20091143893
139,-33,124,693609034.5,0,280326189.2,11945907566,150521857.7,4615829086,1755654957,354342098.3,920032781.1,973935223.8,19742288346
140,-33,126,672187688.1,0,183107526.7,16698041814,332979405,9319221434,1779763818,312244165.8,1134996098,855295214.8,29577246734
141,-33,128,480553724.1,0,178583683.4,53905606208,144440153.6,9626152186,1544650506,257565303,690771242.8,659137407.6,66169185600
142,-33,130,612446369.8,0,155444448.8,27903637444,479099295.1,13027912794,1312524137,164281423.1,1069155659,767890818.6,43956610752
143,-33,132,2501335992,11217441.82,310736218.9,36025953965,462618095,26453935791,2192228664,483230167.5,448047408,2823289653,66066014091
144,-33,134,629235596.3,26076983.33,222766586.6,8319053944,87833524.88,7594784249,447344809.4,174363598.6,520894397.1,878079166.2,17144274523
145,-33,136,1721661698,64376.82242,263862211.5,4810711730,45806497.91,5138345787,449629356.3,110384703.9,355014781.6,1985588287,10909892857
146,-33,138,1756913989,562062.9319,175790337.8,6691412693,55446984.61,6448852925,467650914.9,106353516.1,199713126.2,1933266390,13969430160
147,-33,140,829042628.3,3881.915426,151455988.3,3922466769,11536850.19,2668140560,449262692,94507329.81,256694190.5,980502498.4,7402608392
148,-33,142,870338146,423036.9358,184947235.1,3588580213,30183535.27,3315918352,300280681.7,136596105.3,357011893,1055708418,7728570780
149,-33,144,1261502705,1169066.8,566437772.6,1932306945,15730428.42,2003112211,269313767.8,70265567.95,194037006.8,1829109544,4484765927
150,-33,146,2076197529,1898090.582,622238340.8,2714177012,69331700.53,1977223602,425574014.6,129440001.7,197458762.9,2700333960,5513205094
151,-33,148,2751234973,25467121.65,1191249528,502164179.4,20530765.46,467600476,401802342.7,75338592.58,266103891.5,3967951623,1733540248
152,-33,150,1716170699,20547741.67,983839475.6,2005824675,62725445.1,1009387961,601322508,326931601,624969889,2720557916,4631162079
153,-33,152,5202317102,99994273.56,1370352424,45541109290,350728681.1,39267759731,1464949830,665104853.6,642122133.3,6672663799,87931774520
154,-31,-72,449020798.6,14530341.06,159236380.4,18409771602,325572126.3,8704385498,939913819.9,108058589.9,493450907.9,622787520.1,28981152544
155,-31,-70,147715105.6,3066669.868,84851012.92,9300641307,228103976,9547364210,1397957113,502614474.5,1704499275,235632788.4,22681180355
156,-31,-68,6911899102,25158457.03,5345380420,1039750599,166753443.8,3434566459,4294793720,529593906.4,3630838716,12282437980,13096296845
157,-31,-66,22690207165,19501183.46,13127670647,10036851935,337916838.8,5005149741,1914841300,992025776.3,4145934698,35837378996,22432720289
158,-31,-64,9907702593,60022935.01,2123861091,1666454368,82437953.54,2236172681,1243570712,851604808,746299490.3,12091586619,6826540012
159,-31,-62,21144617176,18112123.47,12121335011,4751375929,900695666.4,1020973761,4338267335,769420733.6,2442528595,33284064310,14223262019
160,-31,-60,6670784371,22427533.24,4736971418,571887124,7391522.39,456017009.5,646759465.9,42146188.71,344482291.4,11430183323,2068683602
161,-31,-58,2970432342,10182059.84,2368953022,258519932.3,37583208.1,277225751.8,439843789.1,214005470.7,356574370.3,5349567424,1583752522
162,-31,-56,3005559079,38438130.18,2135719388,398982707.7,60176834.22,254438113.6,572150360.3,343098291.1,620733357.2,5179716597,2249579664
163,-31,-54,3339851591,16982719.69,967819024.8,3696444515,98762747.43,1826980585,1516419728,154745720.6,863065178,4324653336,8156418475
164,-31,-52,1576926788,29346042.04,1075808634,867864368.4,243055391.4,449826602.7,575253988.1,151944750.6,620220550.4,2682081463,2908165652
165,-31,16,64466740.75,0,5607104.521,1072069735,1807755.793,690025736.2,902967910.6,24756275.48,551372232.6,70073845.27,3242999645
166,-31,18,330738856.5,1060278.667,65432783.89,2935312869,14468711.69,3120085216,907306006.8,150620683.6,601942895.4,397231919,7729736383
167,-31,20,159222776.1,1391879.912,49313877.02,786528384,7969788.203,668165187.2,389662535.3,20653762.84,314439228.4,209928533,2187418886
168,-31,22,423159192.8,1228967.244,66485319.74,7754463292,17130017.83,3122796801,1915028699,94219627.94,776369077.6,490873479.8,13680007515
169,-31,24,5792301497,76108594.19,2888583947,5775745382,290394929.4,2960202201,4229738357,944483297.2,2191490293,8756994039,16392054459
170,-31,26,2983644252,67794766.96,842297772.8,12464874293,158363680.9,21075279361,1119794988,644725267.9,666451559.5,3893736792,36129489150
171,-31,28,5957405465,42352465.96,5046472153,5837731389,1846042509,1445564373,3578217572,2233255484,1867507710,11046230084,16808319037
172,-31,30,5544938776,64220102.64,4573858148,34798009013,444801131.9,65955302276,1246457423,447747078.4,3063666757,10183017027,1.06E+11
173,-31,114,3309254435,0,2529847663,9142620817,104787457.8,3070826648,2429947746,424444019.2,866801874,5839102098,16039428563
174,-31,116,1571752440,0,450967144.5,4392606053,39019512.5,3928382618,451814901.7,97087074.4,167628332.7,2022719584,9076538493
175,-31,118,547275548.6,0,92064258.02,1514805198,5595630.529,1712343038,415246186.7,54649198.74,286700830.7,639339806.6,3989340083
176,-31,120,756515759.4,0,175788373.3,873195456.7,9733956.901,749909992.5,365429103.5,60134759.58,359217876.8,932304132.7,2417621146
177,-31,122,439667296.9,0,102451242,1924288308,12839778.26,2198537006,668035494.7,74101550.46,418327352,542118538.9,5296129490
178,-31,124,247191900.2,0,66158551.86,1899584839,82907182.75,2122883342,1049347161,90902657.91,601470451.1,313350452.1,5847095633
179,-31,126,258146960,0,102462288.5,4629378277,34220775.32,2837428418,1006500295,140873583.6,582330664.3,360609248.6,9230732012
180,-31,128,145315610.4,0,49394437.3,2862117660,24176523.94,3234060410,1123473260,120665394.3,774658503.7,194710047.6,8139151752
181,-31,130,239861001.1,0,55352030.63,1640135033,76452341.17,1184206517,729489677.9,187438445.5,940519852,295213031.7,4758241866
182,-31,132,342377835.3,0,94278108.07,3866347884,32912537.93,4603096752,822497086.3,86516359.89,739277281.5,436655943.3,10150647902
183,-31,134,194879824.9,0,61106125.39,2510148464,2948991.297,2026396607,928878566.5,71388127.74,886647481.7,255985950.3,6426408238
184,-31,136,107137965.6,0,41024377.31,1323236821,10038545.25,621083482.4,738242643.5,35390507.61,600017957.3,148162342.9,3328009958
185,-31,138,122816393.4,0,90924509.12,1682216669,0,1356662389,914532877.6,50268703.54,849259221.5,213740902.5,4852939860
186,-31,140,100617826,0,46370480.16,1501558468,0,261852391.1,514976286,45337053.03,806132985.5,146988306.2,3129857183
187,-31,142,176994255.7,0,70673841.64,3901756828,0,1251891813,691347318.8,21742925.11,775151186,247668097.4,6641890070
188,-31,144,545873287,3730910.555,230194473.7,1185989995,4552322.574,882619378.1,293443184.1,80947021.19,371474022.4,779798671.2,2819025924
189,-31,146,1834577533,649988.5204,989759404.2,1081936085,6262271.63,664315223.1,502257467.5,151935864.7,215322724.1,2824986926,2622029636
190,-31,148,1480497333,60944492.69,1079154069,404705348.3,911074.184,639277811.8,439578741.3,59386407.6,196012215.1,2620595894,1739871598
191,-31,150,1614187222,16620768.88,1412014828,1098919798,150016060.1,1608653554,681925716.3,505619330.6,755382907.6,3042822819,4800517367
192,-31,152,4563845094,19516130.79,1528061205,1.77E+11,558096189.5,4445380879,2361679696,565028087.2,1330952043,6111422430,1.86E+11
193,-29,-72,20154715.21,86.61555441,930924.7731,1035589813,9892079.313,736205272.1,812945057.9,43438547.12,496915658.4,21085726.6,3134986428
194,-29,-70,157799632.2,1854618.466,22186189.82,8790766961,819606419.8,12544083505,3679936090,775242592.7,2943642481,181840440.5,29553278050
195,-29,-68,2967854914,24782928.21,1059075663,6081345556,868661734.6,8204411104,3878918197,910729839.7,2724450146,4051713505,22668516578
196,-29,-66,8041148236,59469682.11,6225681261,8585144332,175881124.5,4038179007,2283585405,627911122,2650696385,14326299179,18361397375
197,-29,-64,1864036009,5553260.322,1554366223,419855011.8,21233897.95,779280629.9,539322699.3,379437382.7,436215242.7,3423955492,2575344864
198,-29,-62,7600232590,51738908.23,1540102668,1212952226,31459359.04,700176539.9,1766668759,531914366.6,447537924.9,9192074166,4690709175
199,-29,-60,12960390003,109535087.2,6581258979,1969022492,109445541.8,2326912632,2487107518,1243027647,1573133964,19651184069,9708649794
200,-29,-58,27428601067,104644751.9,7325172358,26063288537,136423913.9,6570677145,2624390929,318012009,1984047396,34858418177,37696839930
201,-29,-56,35583789162,28253241.4,21779532924,3909024691,151493870,2355525885,8338748951,3737857571,7480727213,57391575327,25973378181
